"","state","Var1","Freq","airport","city","country","lat","long","State"
"37","CA","LGB",15443,"Long Beach (Daugherty )","Long Beach","USA",33.81772222,-118.1516111,"California"
"38","CA","PSP",11979,"Palm Springs International","Palm Springs","USA",33.82921556,-116.5062531,"California"
"39","CA","CEC",1063,"Jack McNamara ","Crescent City","USA",41.78015722,-124.2365333,"California"
"40","CA","IYK",958,"Inyokern","Inyokern","USA",35.65884306,-117.8295122,"California"
"41","CA","BUR",31405,"Burbank-Glendale-Pasadena","Burbank","USA",34.20061917,-118.3584969,"California"
"42","CA","FAT",14278,"Fresno Yosemite International","Fresno","USA",36.77619444,-119.7181389,"California"
"43","CA","OAK",62535,"Metropolitan Oakland International","Oakland","USA",37.72129083,-122.2207167,"California"
"44","CA","SNA",47376,"John Wayne /Orange Co","Santa Ana","USA",33.67565861,-117.8682225,"California"
"45","CA","SFO",140587,"San Francisco International","San Francisco","USA",37.61900194,-122.3748433,"California"
"46","CA","SMF",53056,"Sacramento International","Sacramento","USA",38.69542167,-121.5907669,"California"
"47","CA","MOD",2325,"Modesto City-County-Harry Sham ","Modesto","USA",37.62581722,-120.9544214,"California"
"48","CA","BFL",4502,"Meadows ","Bakersfield","USA",35.43359806,-119.0567681,"California"
"49","CA","SBA",12568,"Santa Barbara Municipal","Santa Barbara","USA",34.42621194,-119.8403733,"California"
"50","CA","SBP",5846,"San Luis Obispo Co-McChesney ","San Luis Obispo","USA",35.23705806,-120.6423931,"California"
"51","CA","SJC",57136,"San Jose International","San Jose","USA",37.36186194,-121.9290089,"California"
"52","CA","SMX",1681,"Santa Maria Pub/Capt G Allan Hancock ","Santa Maria","USA",34.89924833,-120.4575825,"California"
"53","CA","LAX",215608,"Los Angeles International","Los Angeles","USA",33.94253611,-118.4080744,"California"
"54","CA","CIC",1392,"Chico Municipal","Chico","USA",39.79538278,-121.8584231,"California"
"55","CA","PMD",728,"Palmdale Production Flight","Palmdale","USA",34.62938889,-118.0845528,"California"
"56","CA","MRY",7607,"Monterey Peninsula","Monterey","USA",36.5869825,-121.8429478,"California"
"57","CA","IPL",989,"Imperial County","Imperial","USA",32.83422028,-115.5787456,"California"
"58","CA","RDD",1682,"Redding Municipal","Redding","USA",40.50898361,-122.2934019,"California"
"59","CO","GUC",959,"Gunnison County","Gunnison","USA",38.53396333,-106.9331817,"Colorado"
"60","CO","EGE",3106,"Eagle County Regional","Eagle","USA",39.64256778,-106.9176953,"Colorado"
"61","CO","GJT",5152,"Walker ","Grand Junction","USA",39.1224125,-108.5267347,"Colorado"
"62","CO","DRO",3674,"Durango-La Plata County","Durango","USA",37.15151667,-107.7537692,"Colorado"
"63","CO","HDN",2398,"Yampa Valley","Hayden","USA",40.48118028,-107.2176597,"Colorado"
"64","CO","TEX",194,"Telluride Regional","Telluride","USA",37.95375861,-107.90848,"Colorado"
"65","CO","PUB",2,"Pueblo Memorial","Pueblo","USA",38.28908722,-104.4965722,"Colorado"
"66","CO","ASE",5307,"Aspen-Pitkin Co/Sardy ","Aspen","USA",39.22316,-106.868845,"Colorado"
"67","CO","DEN",241443,"Denver Intl","Denver","USA",39.85840806,-104.6670019,"Colorado"
"68","CO","COS",16201,"City of Colorado Springs Muni","Colorado Springs","USA",38.80580556,-104.70025,"Colorado"
"69","CO","MTJ",2419,"Montrose Regional","Montrose","USA",38.50886722,-107.8938333,"Colorado"
"70","CT","BDL",29449,"Bradley International","Windsor Locks","USA",41.93887417,-72.68322833,"Connecticut"
"71","FL","RSW",27136,"Southwest Florida International","Ft. Myers","USA",26.53616667,-81.75516667,"Florida"
"72","FL","EYW",1009,"Key West International","Key West","USA",24.55611111,-81.75955556,"Florida"
"73","FL","SRQ",6432,"Sarasota Bradenton International","Sarasota","USA",27.39533333,-82.55411111,"Florida"
"74","FL","PNS",9497,"Pensacola Regional","Pensacola","USA",30.47330556,-87.18744444,"Florida"
"75","FL","GNV",2064,"Gainesville Regional","Gainesville","USA",29.69005556,-82.27177778,"Florida"
"76","FL","JAX",32685,"Jacksonville International","Jacksonville","USA",30.49405556,-81.68786111,"Florida"
"77","FL","MCO",130872,"Orlando International","Orlando","USA",28.42888889,-81.31602778,"Florida"
"78","FL","TPA",78179,"Tampa International ","Tampa","USA",27.97547222,-82.53325,"Florida"
"79","FL","DAB",2957,"Daytona Beach International","Daytona Beach","USA",29.17991667,-81.05805556,"Florida"
"80","FL","MLB",2002,"Melbourne International ","Melbourne","USA",28.10275,-80.64580556,"Florida"
"81","FL","TLH",5912,"Tallahassee Regional","Tallahassee","USA",30.39652778,-84.35033333,"Florida"
"82","FL","MIA",62559,"Miami International","Miami","USA",25.79325,-80.29055556,"Florida"
"83","FL","FLL",67177,"Fort Lauderdale-Hollywood Int'l","Ft. Lauderdale","USA",26.07258333,-80.15275,"Florida"
"84","FL","PFN",3875,"Panama City-Bay County International","Panama City","USA",30.21208333,-85.68280556,"Florida"
"85","FL","PBI",27822,"Palm Beach International","West Palm Beach","USA",26.68316194,-80.09559417,"Florida"
"86","FL","VPS",6820,"Eglin Air Force Base","Valparaiso","USA",30.48325,-86.5254,"Florida"
"87","GA","MCN",652,"Middle Georgia Regional","Macon","USA",32.69284944,-83.64921083,"Georgia"
"88","GA","ATL",414513,"William B Hartsfield-Atlanta Intl","Atlanta","USA",33.64044444,-84.42694444,"Georgia"
"89","GA","ABY",1095,"Southwest Georgia Regional","Albany","USA",31.535515,-84.19447333,"Georgia"
"90","GA","AGS",2403,"Bush ","Augusta","USA",33.369955,-81.96449611,"Georgia"
"91","GA","BQK",925,"Glynco Jetport","Brunswick","USA",31.25902778,-81.46630556,"Georgia"
"92","GA","SAV",13774,"Savannah International","Savannah","USA",32.12758333,-81.20213889,"Georgia"
"93","GA","VLD",938,"Valdosta Regional","Valdosta","USA",30.7825,-83.27672222,"Georgia"
"94","GA","CSG",1481,"Columbus Metropolitan","Columbus","USA",32.51633333,-84.93886111,"Georgia"
"95","HI","OGG",19940,"Kahului","Kahului","USA",20.89864972,-156.4304578,"Hawaii"
"96","HI","HNL",56276,"Honolulu International","Honolulu","USA",21.31869111,-157.9224072,"Hawaii"
"97","HI","ITO",8051,"Hilo International","Hilo","USA",19.72026306,-155.0484703,"Hawaii"
"98","HI","KOA",12710,"Kona International At Keahole","Kailua/Kona","USA",19.73876583,-156.0456314,"Hawaii"
"99","HI","LIH",13184,"Lihue","Lihue","USA",21.97598306,-159.3389581,"Hawaii"
"100","IA","CID",9377,"Eastern Iowa ","Cedar Rapids","USA",41.88458833,-91.71087222,"Iowa"
"101","IA","SUX",122,"Sioux Gateway ","Sioux City","USA",42.40260333,-96.38436694,"Iowa"
"102","IA","DBQ",1349,"Dubuque Municipal","Dubuque","USA",42.40295944,-90.70916722,"Iowa"
"103","IA","DSM",16643,"Des Moines International","Des Moines","USA",41.53493306,-93.66068222,"Iowa"
"104","IA","ALO",323,"Waterloo Municipal","Waterloo","USA",42.55708139,-92.40034361,"Iowa"
"105","ID","TWF",1813,"Joslin Field - Magic Valley","Twin Falls","USA",42.48180389,-114.4877356,"Idaho"
"106","ID","IDA",3103,"Idaho Falls Regional","Idaho Falls","USA",43.51455556,-112.0701667,"Idaho"
"107","ID","BOI",17024,"Boise Air Terminal","Boise","USA",43.56444444,-116.2227778,"Idaho"
"108","ID","LWS",652,"Lewiston-Nez Perce County","Lewiston","USA",46.37449806,-117.0153944,"Idaho"
"109","ID","PIH",1659,"Pocatello Regional","Pocatello","USA",42.91130556,-112.5958611,"Idaho"
"110","ID","SUN",2871,"Friedman Memorial","Hailey","USA",43.50484139,-114.2965903,"Idaho"
"111","IL","CMI",2774,"University of Illinois-Willard","Champaign/Urbana","USA",40.03925,-88.27805556,"Illinois"
"112","IL","PIA",5581,"Greater Peoria Regional","Peoria","USA",40.66424333,-89.69330556,"Illinois"
"113","IL","MDW",87619,"Chicago Midway","Chicago","USA",41.7859825,-87.75242444,"Illinois"
"114","IL","MLI",8567,"Quad City","Moline","USA",41.44852639,-90.50753917,"Illinois"
"115","IL","SPI",1225,"Capital","Springfield","USA",39.84395194,-89.67761861,"Illinois"
"116","IL","RFD",290,"Greater Rockford","Rockford","USA",42.19536389,-89.09721111,"Illinois"
"117","IL","BMI",4801,"Central Illinois Regional","Bloomington","USA",40.47798556,-88.91595278,"Illinois"
"118","IL","ORD",350380,"Chicago O'Hare International","Chicago","USA",41.979595,-87.90446417,"Illinois"
"119","IN","SBN",5319,"South Bend Regional","South Bend","USA",41.70895361,-86.31847417,"Indiana"
"120","IN","IND",42750,"Indianapolis International","Indianapolis","USA",39.71732917,-86.29438417,"Indiana"
"121","IN","EVV",5844,"Evansville Regional","Evansville","USA",38.03799139,-87.53062667,"Indiana"
"122","IN","FWA",6144,"Fort Wayne International","Fort Wayne","USA",40.97846583,-85.19514639,"Indiana"
"123","KS","ICT",14050,"Wichita Mid-Continent","Wichita","USA",37.64995889,-97.43304583,"Kansas"
"124","KY","CVG",91265,"Cincinnati Northern Kentucky Intl","Covington","USA",39.04614278,-84.6621725,"Kentucky"
"125","KY","SDF",22458,"Louisville International-Standiford ","Louisville","USA",38.17438889,-85.736,"Kentucky"
"126","KY","LEX",10344,"Blue Grass ","Lexington","USA",38.03697222,-84.60538889,"Kentucky"
"127","LA","LCH",1000,"Lake Charles Regional","Lake Charles","USA",30.1260975,-93.22340361,"Louisiana"
"128","LA","MLU",2530,"Monroe Regional","Monroe","USA",32.51086556,-92.03768778,"Louisiana"
"129","LA","SHV",8079,"Shreveport Regional","Shreveport","USA",32.4466275,-93.82559833,"Louisiana"
"130","LA","LFT",4879,"Lafayette Regional","Lafayette","USA",30.20527972,-91.987655,"Louisiana"
"131","LA","MSY",39422,"New Orleans International ","New Orleans","USA",29.99338889,-90.25802778,"Louisiana"
"132","LA","AEX",2330,"Alexandria International","Alexandria","USA",31.32737167,-92.54855611,"Louisiana"
"133","LA","BTR",8941,"Baton Rouge Metropolitan, Ryan ","Baton Rouge","USA",30.53316083,-91.14963444,"Louisiana"
"134","MA","ACK",457,"Nantucket Memorial","Nantucket","USA",41.25305194,-70.06018139,"Massachusetts"
"135","MA","BOS",117915,"Gen Edw L Logan Intl","Boston","USA",42.3643475,-71.00517917,"Massachusetts"
"136","MD","BWI",104074,"Baltimore-Washington International","Baltimore","USA",39.17540167,-76.66819833,"Maryland"
"137","ME","PWM",6897,"Portland International Jetport","Portland","USA",43.64616667,-70.30875,"Maine"
"138","ME","BGR",2879,"Bangor International","Bangor","USA",44.80744444,-68.82813889,"Maine"
"139","MI","LAN",3693,"Capital City","Lansing","USA",42.7787,-84.58735806,"Michigan"
"140","MI","PLN",264,"Pellston Regional  of Emmet County","Pellston","USA",45.5709275,-84.796715,"Michigan"
"141","MI","DTW",161989,"Detroit Metropolitan-Wayne County","Detroit","USA",42.21205889,-83.34883583,"Michigan"
"142","MI","GRR",16616,"Kent County International","Grand Rapids","USA",42.88081972,-85.52276778,"Michigan"
"143","MI","CMX",318,"Houghton County Memorial","Hancock","USA",47.16841722,-88.48906083,"Michigan"
"144","MI","TVC",4262,"Cherry Capital","Traverse City","USA",44.74144472,-85.582235,"Michigan"
"145","MI","MKG",396,"Muskegon County","Muskegon","USA",43.16948806,-86.23822306,"Michigan"
"146","MI","MBS",2918,"Mbs International","Saginaw","USA",43.53291472,-84.07964722,"Michigan"
"147","MI","FNT",8749,"Bishop","Flint","USA",42.96550333,-83.74345639,"Michigan"
"148","MI","AZO",3924,"Kalamazoo County","Kalamazoo","USA",42.234875,-85.5520575,"Michigan"
"149","MN","DLH",2013,"Duluth International","Duluth","USA",46.84209028,-92.19364861,"Minnesota"
"150","MN","BJI",74,"Bemidji-Beltrami County","Bemidji","USA",47.50942417,-94.93372333,"Minnesota"
"151","MN","RST",3353,"Rochester International","Rochester","USA",43.90882639,-92.49798722,"Minnesota"
"152","MN","MSP",130289,"Minneapolis-St Paul Intl","Minneapolis","USA",44.88054694,-93.2169225,"Minnesota"
"153","MN","INL",72,"Falls International","International Falls","USA",48.56618722,-93.40306667,"Minnesota"
"154","MO","MCI",59370,"Kansas City International","Kansas City","USA",39.29760528,-94.71390556,"Missouri"
"155","MO","SGF",10087,"Springfield-Branson Regional","Springfield","USA",37.24432611,-93.38685806,"Missouri"
"156","MO","STL",62733,"Lambert-St Louis International","St Louis","USA",38.74768694,-90.35998972,"Missouri"
"157","MS","MEI",674,"Key ","Meridian","USA",32.33313333,-88.75120556,"Mississippi"
"158","MS","GPT",8541,"Gulfport-Biloxi Regional","Gulfport-Biloxi","USA",30.40728028,-89.07009278,"Mississippi"
"159","MS","TUP",10,"Tupelo Municipal ","Tupelo","USA",34.26810833,-88.769895,"Mississippi"
"160","MS","JAN",12609,"Jackson International","Jackson","USA",32.31116667,-90.07588889,"Mississippi"
"161","MS","GTR",964,"Golden Triangle Regional","Columbus-Starkville-West Point","USA",33.45033444,-88.59136861,"Mississippi"
"162","MT","WYS",264,"Yellowstone","West Yellowstone","USA",44.68839917,-111.1176375,"Montana"
"163","MT","HLN",1986,"Helena Regional","Helena","USA",46.60681806,-111.9827503,"Montana"
"164","MT","BIL",4505,"Billings Logan Intl","Billings","USA",45.8076625,-108.5428611,"Montana"
"165","MT","GTF",2140,"Great Falls Intl","Great Falls","USA",47.48200194,-111.3706853,"Montana"
"166","MT","BZN",4659,"Gallatin ","Bozeman","USA",45.77690139,-111.1530072,"Montana"
"167","MT","BTM",708,"Bert Mooney","Butte","USA",45.95479528,-112.49746,"Montana"
"168","MT","MSO",3256,"Missoula International","Missoula","USA",46.91630556,-114.0905556,"Montana"
"169","MT","FCA",2762,"Glacier Park Intl","Kalispell","USA",48.31140472,-114.2550694,"Montana"
"170","NC","EWN",791,"Craven County Regional","New Bern","USA",35.07297222,-77.04294444,"North Carolina"
"171","NC","RDU",60179,"Raleigh-Durham International","Raleigh","USA",35.87763889,-78.78747222,"North Carolina"
"172","NC","AVL",4399,"Asheville Regional","Asheville","USA",35.43619444,-82.54180556,"North Carolina"
"173","NC","ILM",3397,"Wilmington International","Wilmington","USA",34.27061111,-77.90255556,"North Carolina"
"174","NC","OAJ",1184,"Albert J Ellis","Jacksonville","USA",34.82916444,-77.61213778,"North Carolina"
"175","NC","CLT",126045,"Charlotte/Douglas International","Charlotte","USA",35.21401111,-80.94312583,"North Carolina"
"176","NC","FAY",2267,"Fayetteville Municipal","Fayetteville","USA",34.99147222,-78.88,"North Carolina"
"177","NC","GSO",13558,"Piedmont Triad International","Greensboro","USA",36.09774694,-79.9372975,"North Carolina"
"178","ND","MOT",1085,"Minot International","Minot","USA",48.25937778,-101.2803339,"North Dakota"
"179","ND","FAR",4431,"Hector International","Fargo","USA",46.91934889,-96.81498889,"North Dakota"
"180","ND","GFK",1371,"Grand Forks International","Grand Forks","USA",47.949255,-97.17611111,"North Dakota"
"181","ND","BIS",2293,"Bismarck Municipal","Bismarck","USA",46.77411111,-100.7467222,"North Dakota"
"182","NE","OMA",27007,"Eppley Airfield","Omaha","USA",41.30251861,-95.89417306,"Nebraska"
"183","NE","LNK",3037,"Lincoln Municipal","Lincoln","USA",40.85097222,-96.75925,"Nebraska"
"184","NH","MHT",18588,"Manchester","Manchester","USA",42.93451639,-71.43705583,"New Hampshire"
"185","NJ","ACY",116,"Atlantic City International","Atlantic City","USA",39.45758333,-74.57716667,"New Jersey"
"186","NJ","EWR",138506,"Newark Intl","Newark","USA",40.69249722,-74.16866056,"New Jersey"
"187","NM","ROW",961,"Roswell Industrial Air Center","Roswell","USA",33.30155556,-104.5305556,"New Mexico"
"188","NM","ABQ",41146,"Albuquerque International","Albuquerque","USA",35.04022222,-106.6091944,"New Mexico"
"189","NV","LAS",172876,"McCarran International","Las Vegas","USA",36.08036111,-115.1523333,"Nevada"
"190","NV","RNO",24286,"Reno/Tahoe International","Reno","USA",39.49857611,-119.7680647,"Nevada"
"191","NV","EKO",1580,"Elko Regional","Elko","USA",40.82492611,-115.7916964,"Nevada"
"192","NY","BUF",26281,"Buffalo Niagara Intl","Buffalo","USA",42.94052472,-78.73216667,"New York"
"193","NY","ISP",10183,"Long Island - MacArthur","Islip","USA",40.7952425,-73.10021194,"New York"
"194","NY","JFK",118804,"John F Kennedy Intl","New York","USA",40.63975111,-73.77892556,"New York"
"195","NY","LGA",119135,"LaGuardia","New York","USA",40.77724306,-73.87260917,"New York"
"196","NY","BGM",728,"Binghamton Regional","Binghamton","USA",42.20848278,-75.97961361,"New York"
"197","NY","ROC",14264,"Greater Rochester Int'l","Rochester","USA",43.11886611,-77.67238389,"New York"
"198","NY","ITH",132,"Tompkins Cty ","Ithaca","USA",42.49102778,-76.45844444,"New York"
"199","NY","SWF",4249,"Stewart","Newburgh","USA",41.50409361,-74.10483833,"New York"
"200","NY","SYR",12032,"Syracuse-Hancock Intl","Syracuse","USA",43.11118694,-76.10631056,"New York"
"201","NY","HPN",10715,"Westchester Cty","White Plains","USA",41.06695778,-73.70757444,"New York"
"202","NY","ELM",1336,"Elmira/Corning Regional","Elmira","USA",42.15991361,-76.89144333,"New York"
"203","NY","ALB",13474,"Albany Cty","Albany","USA",42.74811944,-73.80297861,"New York"
"204","OH","CAK",8994,"Akron-Canton Regional","Akron","USA",40.91631194,-81.44246556,"Ohio"
"205","OH","TOL",1478,"Toledo Express","Toledo","USA",41.58680556,-83.80783333,"Ohio"
"206","OH","DAY",15791,"James M Cox Dayton Intl","Dayton","USA",39.90237583,-84.219375,"Ohio"
"207","OH","CLE",65795,"Cleveland-Hopkins Intl","Cleveland","USA",41.41089417,-81.84939667,"Ohio"
"208","OH","CMH",34157,"Port Columbus Intl","Columbus","USA",39.99798528,-82.89188278,"Ohio"
"209","OK","TUL",23459,"Tulsa International","Tulsa","USA",36.19837222,-95.88824167,"Oklahoma"
"210","OK","OKC",25152,"Will Rogers World","Oklahoma City","USA",35.39308833,-97.60073389,"Oklahoma"
"211","OK","LAW",2369,"Lawton-Ft Sill Regional","Lawton","USA",34.56771444,-98.41663667,"Oklahoma"
"212","OR","EUG",5749,"Mahlon Sweet ","Eugene","USA",44.12326,-123.2186856,"Oregon"
"213","OR","LMT",511,"Klamath Falls International","Klamath Falls","USA",42.15614361,-121.7332081,"Oregon"
"214","OR","PDX",57860,"Portland Intl","Portland","USA",45.58872222,-122.5975,"Oregon"
"215","OR","SLE",486,"McNary Fld","Salem","USA",44.90952778,-123.0025,"Oregon"
"216","OR","MFR",5652,"Rogue Valley International","Medford","USA",42.37422778,-122.8734978,"Oregon"
"217","OR","OTH",515,"North Bend Muni","North Bend","USA",43.41713889,-124.2460278,"Oregon"
"218","OR","RDM",3434,"Roberts ","Redmond","USA",44.25406722,-121.1499633,"Oregon"
"219","PA","PHL",100499,"Philadelphia Intl","Philadelphia","USA",39.87195278,-75.24114083,"Pennsylvania"
"220","PA","ABE",4807,"Lehigh Valley International","Allentown","USA",40.65236278,-75.44040167,"Pennsylvania"
"221","PA","AVP",2386,"Wilkes-Barre/Scranton Intl","Wilkes-Barre/Scranton","USA",41.33814944,-75.7242675,"Pennsylvania"
"222","PA","ERI",1399,"Erie Intl","Erie","USA",42.08202139,-80.17621556,"Pennsylvania"
"223","PA","MDT",7594,"Harrisburg Intl","Harrisburg","USA",40.19349528,-76.76340361,"Pennsylvania"
"224","PA","PIT",41800,"Pittsburgh International","Pittsburgh","USA",40.49146583,-80.23287083,"Pennsylvania"
"225","RI","PVD",22509,"Theodore F Green State","Providence","USA",41.72399917,-71.42822111,"Rhode Island"
"226","SC","FLO",615,"Florence Regional","Florence","USA",34.18536111,-79.72388889,"South Carolina"
"227","SC","GSP",11856,"Greenville-Spartanburg","Greer","USA",34.89566722,-82.21885833,"South Carolina"
"228","SC","MYR",5335,"Myrtle Beach International","Myrtle Beach","USA",33.67975,-78.92833333,"South Carolina"
"229","SC","CHS",14181,"Charleston AFB/International","Charleston","USA",32.89864639,-80.04050583,"South Carolina"
"230","SC","CAE",10550,"Columbia Metropolitan","Columbia","USA",33.93884,-81.11953944,"South Carolina"
"231","SD","PIR",5,"Pierre Regional","Pierre","USA",44.38267694,-100.285965,"South Dakota"
"232","SD","FSD",5828,"Joe Foss ","Sioux Falls","USA",43.58135111,-96.74170028,"South Dakota"
"233","SD","RAP",4161,"Rapid City Regional","Rapid City","USA",44.04532139,-103.0573708,"South Dakota"
"234","TN","TYS",14004,"McGhee-Tyson","Knoxville","USA",35.81248722,-83.99285583,"Tennessee"
"235","TN","MEM",80966,"Memphis International","Memphis","USA",35.04241667,-89.97666667,"Tennessee"
"236","TN","TRI",2117,"Tri-Cities Regional","Bristol","USA",36.47521417,-82.40742056,"Tennessee"
"237","TN","CHA",4571,"Lovell ","Chattanooga","USA",35.03526833,-85.20378778,"Tennessee"
"238","TN","BNA",57539,"Nashville International","Nashville","USA",36.12447667,-86.67818222,"Tennessee"
"239","TX","AMA",7496,"Amarillo International","Amarillo","USA",35.2193725,-101.7059272,"Texas"
"240","TX","BRO",1464,"Brownsville/S.Padre Island International","Brownsville","USA",25.90683333,-97.42586111,"Texas"
"241","TX","IAH",185172,"George Bush Intercontinental","Houston","USA",29.98047222,-95.33972222,"Texas"
"242","TX","ABI",2660,"Abilene Regional","Abilene","USA",32.41132,-99.68189722,"Texas"
"243","TX","HOU",55933,"William P Hobby","Houston","USA",29.64541861,-95.27888889,"Texas"
"244","TX","CRP",5270,"Corpus Christi International","Corpus Christi","USA",27.77036083,-97.50121528,"Texas"
"245","TX","AUS",49623,"Austin-Bergstrom International","Austin","USA",30.19453278,-97.66987194,"Texas"
"246","TX","ACT",1993,"Waco Regional","Waco","USA",31.61128833,-97.23051917,"Texas"
"247","TX","TYR",1585,"Tyler Pounds ","Tyler","USA",32.35413889,-95.40238611,"Texas"
"248","TX","LRD",2115,"Laredo International","Laredo","USA",27.54373861,-99.46154361,"Texas"
"249","TX","SJT",1316,"San Angelo Regional /Mathis ","San Angelo","USA",31.35775,-100.4963056,"Texas"
"250","TX","MAF",6839,"Midland International","Midland","USA",31.94252778,-102.2019139,"Texas"
"251","TX","HRL",4421,"Valley International","Harlingen","USA",26.22850611,-97.65439389,"Texas"
"252","TX","CLL",1367,"Easterwood ","College Station","USA",30.58858944,-96.36382417,"Texas"
"253","TX","DFW",281281,"Dallas-Fort Worth International","Dallas-Fort Worth","USA",32.89595056,-97.0372,"Texas"
"254","TX","SPS",1834,"Sheppard AFB/Wichita Falls Municipal","Wichita Falls","USA",33.98879611,-98.49189333,"Texas"
"255","TX","DAL",53928,"Dallas Love ","Dallas","USA",32.84711389,-96.85177222,"Texas"
"256","TX","LBB",8249,"Lubbock International","Lubbock","USA",33.66363889,-101.8227778,"Texas"
"257","TX","GGG",978,"Gregg County","Longview","USA",32.38486111,-94.71171,"Texas"
"258","TX","BPT",276,"Southeast Texas Regional","Beaumont/Port Arthur","USA",29.95083333,-94.02069444,"Texas"
"259","TX","GRK",3733,"Robert Gray AAF","Killeen","USA",31.06489778,-97.82779778,"Texas"
"260","TX","ELP",20731,"El Paso International","El Paso","USA",31.80666667,-106.3778056,"Texas"
"261","TX","SAT",45270,"San Antonio International","San Antonio","USA",29.53369444,-98.46977778,"Texas"
"262","TX","MFE",4116,"McAllen Miller International","McAllen","USA",26.17583333,-98.23861111,"Texas"
"263","UT","CDC",668,"Cedar City Muni","Cedar City","USA",37.70097028,-113.098575,"Utah"
"264","UT","SGU",3319,"St George Muni","St George","USA",37.09058333,-113.5930556,"Utah"
"265","UT","SLC",139088,"Salt Lake City Intl","Salt Lake City","USA",40.78838778,-111.9777731,"Utah"
"266","VA","IAD",76031,"Washington Dulles International","Chantilly","USA",38.94453194,-77.45580972,"Virginia"
"267","VA","PHF",6406,"Newport News/Williamsburg International","Newport News","USA",37.13189556,-76.4929875,"Virginia"
"268","VA","CHO",823,"Charlottesville-Albermarle","Charlottesville","USA",38.13863889,-78.45286111,"Virginia"
"269","VA","ROA",3720,"Roanoke Regional/ Woodrum ","Roanoke","USA",37.32546833,-79.97542833,"Virginia"
